h3_index,building_count,total_area,distance_km
892aa840823ffff,1,1888.0171752,2.914372451051909
892aa840827ffff,64,133912.05655972,2.5797502827240297
892aa84082fffff,9,22329.8852626,2.732199531572546
892aa840903ffff,15,42404.98420165,1.5363765242864282
892aa840907ffff,40,141756.32418164,1.2551755895974492
892aa84090bffff,127,171268.62623035,1.5891148103380501
892aa84090fffff,192,187364.50850633,1.2690330222121118
892aa84091bffff,12,14177.4947669,1.8374709615431326
892aa840933ffff,125,131269.80675019,1.0106010906225376
892aa840943ffff,115,137984.35428431,2.054515119242579
892aa840947ffff,127,161478.1812827,1.7162322573217534
892aa84094bffff,67,142078.55599255,2.2419656328567625
892aa84094fffff,50,102951.35211898,1.9028800348413806
892aa840953ffff,57,121803.46802488,2.2466854391969644
892aa840957ffff,134,163791.09439572,1.9159840394737429
892aa84095bffff,98,236912.84900504,2.3932219897040468
892aa840963ffff,130,145211.15118316,1.2258331122235195
892aa84096bffff,8,10245.64997327,1.4743635981203225
892aa840973ffff,155,179962.40555495,1.3786769302451496
892aa840977ffff,192,186480.80527079,1.042544652033409
892aa84097bffff,55,131364.28570108,1.5640905742330165
892aa840b07ffff,87,168297.58924409,2.679942381276603
892aa840b0fffff,9,22184.28369619,3.0007176725483427
892aa840b17ffff,6,17310.55908188,2.6794439064498983
892aa840b23ffff,56,114752.36393441,2.4594515124977443
892aa840b27ffff,41,66904.83418449,2.2175420105496073
892aa840b2bffff,77,112104.07113855,2.790205706172123
892aa840b2fffff,150,182902.27432994999,2.5700805038284855
892aa840b33ffff,75,126289.2182272,2.3914120374508703
892aa840b3bffff,89,169607.31284919,2.722345523191411
892aa840b67ffff,75,93550.00584564,2.6633752710289738
892aa840b77ffff,50,64348.66838819,2.990657655188378
892aa840b87ffff,50,96984.24583913,2.467209995442324
892aa840b97ffff,38,69883.27243033,2.5812352681256323
892aa840babffff,3,7178.66863133,2.3696388940043507
892aa840bb3ffff,67,111244.22614218,2.1334904341341265
892aa840bb7ffff,6,7206.30978222,1.8020350463857857
892aa84404fffff,15,14415.309149730001,1.9208988718374442
892aa844063ffff,37,76492.7053329,1.395846475388494
892aa844067ffff,57,122494.79089466,1.1930517399709077
892aa84406bffff,190,165257.75853573,1.3472724948429446
892aa84406fffff,36,224485.55645332,1.0772374756442933
892aa84407bffff,48,38722.59720707,1.6443456998583854
892aa844123ffff,18,30692.76567007,1.241450634145345
892aa844127ffff,43,47724.43677263,1.194178886731346
892aa84412bffff,142,184635.18409314,1.0381005628328999
892aa84414bffff,34,320582.55368218,1.1094648079238287
892aa844173ffff,1,56.05686738,1.502726366502793
892aa844177ffff,12,37515.27659128,1.2460910182782283
892aa844207ffff,159,212390.36861072,1.06209463234205
892aa844213ffff,142,195847.68781814998,1.1989059003572837
892aa844217ffff,199,163162.41516315,1.2690975217873803
892aa844233ffff,208,276672.78976775,1.1813312350070468
892aa844237ffff,155,167076.88114058,1.0150759627067707
892aa844283ffff,54,48698.88506259,1.8038516279395493
892aa844287ffff,47,38919.53198739,1.8592002772298377
892aa84428bffff,227,194358.77402048,1.4557225890270635
892aa84428fffff,237,193452.21231258,1.5229619465486073
892aa84429bffff,71,81392.48383226,1.58723451910812
892aa8442a3ffff,239,220561.49664174,1.6507444780054314
892aa8442a7ffff,159,157154.19377367,1.391778482928624
892aa8442abffff,219,217171.3298224,1.4192686297547044
892aa8442afffff,154,198215.86352104,1.328365366928086
892aa8442b3ffff,51,65073.20247307,1.953460640907727
892aa8442b7ffff,133,146578.04497786,1.6432664215789883
892aa8442bbffff,259,212116.94065698,1.619366861124304
892aa8442c7ffff,118,94035.84026624,1.1133548060736764
892aa8442d3ffff,175,140736.50536838,1.0676762398748092
892aa8442d7ffff,179,186702.1416316,1.230557226977465
892aa844327ffff,1,236.60237028,1.2519557307945308
892aa844397ffff,262,293398.08244066,1.0318229877071512
892aa8443d3ffff,124,157729.91364867,1.0736149299067117
892aa8443dbffff,170,174876.80082845,1.1160573450955993
892aa84466bffff,42,33296.39416169,1.3197475997419275
892aa84466fffff,27,64252.175392200006,1.4195972979985092
892aa844807ffff,255,294142.91626427,1.1139162543686008
892aa84480fffff,70,123054.65081851,1.0761532745780826
892aa844823ffff,5,2467.67598451,1.6746528013677113
892aa84482bffff,170,149550.57540663,1.6485048962041664
892aa844833ffff,23,39404.55557067,1.441704909701413
892aa84483bffff,263,224902.31985413,1.3661007720730043
892aa84484bffff,139,89222.84865601,1.2450664759292223
892aa84484fffff,164,105874.35355529,1.2404918497998796
892aa844863ffff,175,168734.60665349,1.485450751967138
892aa844867ffff,189,173001.34116988,1.6987144045256362
892aa84486bffff,207,134266.31662654,1.6610761647903451
892aa84486fffff,8,6251.92273305,1.8189685493545362
892aa844873ffff,87,142756.84548696,1.1534194719151285
892aa844877ffff,238,173599.53495847,1.3816351391031976
892aa84487bffff,420,240274.52788626,1.3257522835079176
892aa844887ffff,302,204045.50822939,1.1208560981961515
892aa844897ffff,138,187997.27474023,1.1975900521863894
892aa8448abffff,83,111106.46426087,1.2563794227182803
892aa8448b3ffff,76,44258.57950196,1.4221436162197296
892aa8448bbffff,290,198686.01171264,1.1421102985844436
892aa844a03ffff,87,91944.66853043,1.3132853303228746
892aa844a0bffff,15,40457.09361191,1.1711367711014904
892aa844a13ffff,181,239679.59112939,1.6493796576786612
892aa844a17ffff,7,53811.88839701,1.5273673933296685
892aa844a1bffff,36,42177.55349697,1.4973063617449072
892aa844a27ffff,113,120788.80903912999,1.0421825507957723
892aa844a37ffff,41,51231.51281245,1.246681521567295
892aa844a43ffff,62,1045583.4069254,1.0763324218712285
892aa844a47ffff,23,150384.31491021,1.1284404865309705
892aa844a83ffff,110,174542.7157244,1.6919882412874625
892aa844a87ffff,106,187627.60724471,1.5784907007027555
892aa844a8bffff,202,204828.52786005998,1.9854924668026417
892aa844a8fffff,63,247789.17289845,1.8584849121560445
892aa844a93ffff,204,181444.14664604,1.504505136270405
892aa844a97ffff,152,206369.3249866,1.3385643320625995
892aa844a9bffff,161,234753.34144846,1.8612471953103318
892aa844aafffff,1,124.15655878,1.499401910011145
892aa844ab3ffff,53,186013.33227094,1.5331807865161842
892aa844ab7ffff,100,67374.74514516,1.561996047744657
892aa844abbffff,13,28446.448999999997,1.7877253346768704
892aa844ac3ffff,5,4057.51086313,1.7948206206412949
892aa844ac7ffff,37,37155.8518964,1.827094286328732
892aa844ad3ffff,264,134003.70934269,2.037707616908819
892aa844ad7ffff,220,137514.77641242,2.1423164134759918
892aa844b03ffff,53,30264.62841726,2.132744842361872
892aa844b0bffff,290,275643.41456768,1.813388660322205
892aa844b13ffff,271,128807.24221006,2.2001101371703626
892aa844b1bffff,409,252451.38121794,1.8587337095528484
892aa844b43ffff,58,58511.355534329996,1.2035295907983843
892aa844b47ffff,119,195125.40614662,1.5109842348468303
892aa844b4fffff,142,172801.75066914,1.2380158308983082
892aa844b53ffff,147,141921.32911979,1.2610070291058388
892aa844b57ffff,91,96712.65933473,1.5245408057399745
892aa844b63ffff,51,60789.581118199996,1.8644201827217164
892aa844b6bffff,145,167892.76385177,1.5322466599325992
892aa844b6fffff,2,2582.52600683,1.6177061667574437
892aa844b73ffff,89,122261.91446185,1.8296763424516478
892aa844b7bffff,153,162879.00283785,1.5709111057874594
892aa844b83ffff,18,18405.03473138,2.257850043268602
892aa844b8bffff,176,182695.52355273,2.3147901924659458
892aa844b93ffff,76,99697.0475102,1.948023441905307
892aa844b9bffff,85,81590.67173083,2.021936069345784
892aa844bc3ffff,10,25513.959711699998,1.756174115832052
892aa844bc7ffff,168,126443.75985042,1.9614480731415156
892aa844bcbffff,102,124254.29234032,1.3991691357163474
892aa844bcfffff,101,88438.67129616,1.6097331927938925
892aa844bd7ffff,1,995.87841275,2.11318867345192
892aa844c07ffff,17,11067.56334122,1.7862269639555675
892aa844c0bffff,261,225531.04805427,1.5672079391853477
892aa844c0fffff,211,195377.38588108,1.4932877698465288
892aa844c23ffff,181,192333.74249562,1.5710294266453677
892aa844c27ffff,106,109578.5376043,1.7124669899284655
892aa844c2bffff,156,153870.18967009,1.226096782185752
892aa844c2fffff,122,157112.34563062,1.3557845904544985
892aa844c33ffff,47,58796.77408385,1.8232366935163578
892aa844c37ffff,104,114819.02825588,1.9204122011867912
892aa844c3bffff,141,160801.57438502,1.494628346938886
892aa844c43ffff,207,260809.27279897,1.016988750583394
892aa844c47ffff,411,211352.04512422,1.2166972593484813
892aa844c53ffff,97,91674.12447204,1.2414605922580946
892aa844c57ffff,142,169044.21794235,1.3735572026347083
892aa844c73ffff,220,299386.66230408,1.2346074613539462
892aa844c77ffff,89,235010.31278447,1.1826551800060066
892aa844c7bffff,127,196548.34762164,1.0361690596548068
892aa844d4bffff,204,160789.89945978,1.4490766752689317
892aa844d53ffff,3,5836.1032251100005,1.9044997310650502
892aa844d5bffff,27,32042.628708930002,1.550214507725869
892aa844dcbffff,79,55866.132959509996,2.069288729575203
892aa844e23ffff,73,138173.57881313,1.0343559889154947
892aa844e2bffff,172,271860.12025355,1.3211448529147514
892aa844e2fffff,139,139137.53126831,1.1479688614856025
892aa844e47ffff,1,77177.8794207,1.322028754168069
892aa844e4fffff,136,248406.61906003,1.6751503681610602
892aa844e63ffff,357,274365.47391984,1.5215177747199864
892aa844e67ffff,163,211594.97314864,1.5539793490037954
892aa844e6bffff,133,185159.23061895,1.8355114614531391
892aa844e6fffff,430,250522.45518571,1.8273727461178877
892aa844e77ffff,18,179628.68887548,1.2312390783643576
892aa844e7bffff,77,339936.83349358,1.5637883607130718
892aa845023ffff,253,263304.14261096,1.045624114465461
892aa845027ffff,356,325398.52737319,1.3229529955320365
892aa84502fffff,227,331465.01805678,1.2395316259875113
892aa845037ffff,289,243650.06958671,1.017857207356375
892aa84505bffff,14,28928.30109193,1.015385082580206
892aa845067ffff,31,172195.08846191,1.0464139698182464
892aa84506bffff,214,268634.66123651,1.1356984883155634
892aa84506fffff,322,335013.32864659,1.1849943451833203
892aa845093ffff,143,130185.13195381,1.2853295096190207
892aa84509bffff,254,227511.27417272,1.0138772411218453
892aa8450d3ffff,35,232998.15160861998,1.037001342683704
892aa8450dbffff,122,291476.10127966,1.044764304555666
892aa845107ffff,8,51981.43642448,1.4252503597245616
892aa84512bffff,68,419821.67437332,1.1618300196623847
892aa845133ffff,17,76658.77902034,1.092609939066981
892aa84513bffff,89,81564.89088641,1.255991053607265
892aa845143ffff,203,197620.07713846,1.2606111532964095
892aa845147ffff,123,638365.69441329,1.3160010136063287
892aa84514fffff,346,405613.92816269,1.043459583339567
892aa845153ffff,243,225207.55080856,1.3918238778840228
892aa84515bffff,321,337424.01790657,1.2031247491127086
892aa845177ffff,19,875990.64376145,1.2378035518078805
892aa84518bffff,8,173585.38351793,1.0991061667032966
892aa84518fffff,6,3657.5271626999997,1.1171750461879297
892aa8451abffff,4,16705.85218294,1.080990561935099
892aa8451cbffff,313,281256.50722138,1.0593467402817043
892aa845203ffff,53,99650.03525693,1.4911425131725533
892aa84520bffff,79,152592.96893778,1.1746943748864378
892aa84520fffff,43,99210.4837269,1.2179838769640148
892aa845213ffff,4,6935.79280052,1.569130936219125
892aa84521bffff,53,113368.07017009,1.2219557119439275
892aa845227ffff,2,4057.5004610099995,1.0001907582872462
892aa845237ffff,33,75204.00004293,1.270226994751968
892aa84523bffff,11,28786.821564949998,1.0449002933329081
892aa845273ffff,36,82197.98813593,1.1469900082764184
892aa84527bffff,18,169594.90883082,1.0148046813591582
892aa84528bffff,73,162934.17506575,1.7108731916897255
892aa8452a3ffff,30,49169.5713702,1.4933356258266368
892aa8452a7ffff,174,213793.31319268,1.434708607622261
892aa8452afffff,46,76764.98316641,1.566136500689321
892aa8452b3ffff,2,2441.7672507400002,1.2665484665733067
892aa8452b7ffff,120,188912.09077604,1.1539753121766658
892aa8452c3ffff,15,27148.52259766,1.1974415306473527
892aa8452d3ffff,12,25496.95955606,1.4493143329777243
892aa8452dbffff,126,258182.99739254,1.1250522698877792
892aa845343ffff,68,80533.57302618,1.0071993517039306
892aa845353ffff,5,13868.77535345,1.1404240498305371
892aa845393ffff,160,374753.21761111,1.026258017278242
892aa8453c3ffff,147,165252.96508529,1.065143399940739
892aa8453cbffff,77,127953.52325231,1.2930478581523575
892aa8453d3ffff,241,268048.39430425,1.249443531299924
892aa8453dbffff,137,186182.25915094,1.4047001223745674
892aa845403ffff,154,266165.6523551,1.3085351062565722
892aa845407ffff,272,384045.25893425,1.5945622007001468
892aa84540fffff,129,193906.66527177,1.2918438934847747
892aa845413ffff,71,71540.65840301,1.4078523905452147
892aa845417ffff,134,106438.22857606,1.646668203878678
892aa84541bffff,130,252479.23409179001,1.0547951317972586
892aa845423ffff,20,268404.59328086,1.5005429363657692
892aa845427ffff,72,96034.12285869,1.225597359318163
892aa84542bffff,153,196409.93511071,1.544882302986681
892aa84542fffff,185,199267.92939022,1.2277325390678324
892aa845433ffff,198,303413.96201951,1.7950760665263092
892aa845437ffff,154,188795.95538324,1.5400806285384894
892aa84543bffff,121,386976.21512046,1.6124845723347352
892aa845463ffff,340,268002.55033316,1.1656665731842955
892aa845467ffff,317,264813.22824351,1.3449127035160235
892aa84546bffff,240,215041.47797719,1.0587738840259422
892aa84546fffff,303,268508.82061793,1.1464976898140524
892aa845473ffff,68,449116.54915649,1.0248720691275695
892aa845477ffff,201,250466.00783889001,1.360813215533679
892aa8454a7ffff,3,8355.23145737,1.9922187496268093
892aa8454abffff,114,107463.74464333,1.916159926595585
892aa8454afffff,172,154155.5626614,1.8622526317422556
892aa8454c7ffff,3,19787.65412528,1.217903609625923
892aa845503ffff,128,142263.91750737999,1.092564270578432
892aa845513ffff,355,251146.63833445,1.3590823833907157
892aa845517ffff,169,118116.58095359,1.0813746867239311
892aa84551bffff,222,197270.15531284,1.097531983166023
892aa84558bffff,135,103727.27532241,1.651318544731569
892aa84558fffff,168,161201.92183108,1.395794066517038
892aa8455a3ffff,178,130306.99012014,1.0406280085571766
892aa8455b7ffff,7,3863.9430281100003,1.3033683107148002
892aa8455bbffff,119,115246.95618924,1.1833287445152267
892aa8455c3ffff,249,191316.42212572,1.5024462708509774
892aa8455c7ffff,378,243577.60764098,1.4135174919829152
892aa8455cbffff,285,261961.2643085,1.3236668851676687
892aa8455cfffff,140,243361.91338806,1.167480760997148
892aa8455d3ffff,33,22437.91841634,1.8379472324573223
892aa8455d7ffff,125,73223.6257182,1.7371941182878414
892aa8455dbffff,292,213571.64420372,1.6575045252336622
892aa845613ffff,1,2852.5621812,1.1210873464445492
892aa845617ffff,133,167818.98958488,1.0380563205399815
892aa845623ffff,90,100686.37679777,1.3746208077518818
